date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2006-01-01,2006,MA00,BUDGET,DEFICIT.BUDGET,65722.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2007-01-01,2007,MA00,BUDGET,DEFICIT.BUDGET,63155.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2007-01-01,2007,MA00,BUDGET,DEFICIT.BUDGET,64371.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2007-01-01,2007,MA00,BUDGET,DEFICIT.BUDGET,67356.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2007-01-01,2007,MA00,BUDGET,DEFICIT.BUDGET,66528.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2008-01-01,2008,MA00,BUDGET,DEFICIT.BUDGET,68283.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2008-01-01,2008,MA00,BUDGET,DEFICIT.BUDGET,70058.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2008-01-01,2008,MA00,BUDGET,DEFICIT.BUDGET,68677.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2008-01-01,2008,MA00,BUDGET,DEFICIT.BUDGET,68813.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2009-01-01,2009,MA00,BUDGET,DEFICIT.BUDGET,70087.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
