year,month,hotel_name,city,stars,rooms,occupancy_pct,adr_mad,revenue_mad
2001,1,La Mamounia,Marrakech,5,209,17,113,116745
2001,2,La Mamounia,Marrakech,5,209,16,113,97288
2001,3,La Mamounia,Marrakech,5,209,18,113,136203
2001,4,La Mamounia,Marrakech,5,209,20,113,155660
2001,5,La Mamounia,Marrakech,5,209,20,113,155660
2001,6,La Mamounia,Marrakech,5,209,22,113,136203
2001,7,La Mamounia,Marrakech,5,209,31,113,233491
2001,8,La Mamounia,Marrakech,5,209,45,113,272406
2001,9,La Mamounia,Marrakech,5,209,31,113,194576
2001,10,La Mamounia,Marrakech,5,209,23,113,175118
2001,11,La Mamounia,Marrakech,5,209,18,113,136203
2001,12,La Mamounia,Marrakech,5,209,18,113,136203
2001,1,Royal Mansour,Marrakech,5,53,19,149,35127
2001,2,Royal Mansour,Marrakech,5,53,14,149,29272
2001,3,Royal Mansour,Marrakech,5,53,22,149,40981
2001,4,Royal Mansour,Marrakech,5,53,23,149,46835
2001,5,Royal Mansour,Marrakech,5,53,24,149,46835
2001,6,Royal Mansour,Marrakech,5,53,21,149,40981
2001,7,Royal Mansour,Marrakech,5,53,37,149,70253
2001,8,Royal Mansour,Marrakech,5,53,38,149,81962
2001,9,Royal Mansour,Marrakech,5,53,30,149,58544
2001,10,Royal Mansour,Marrakech,5,53,24,149,52690
2001,11,Royal Mansour,Marrakech,5,53,21,149,40981
2001,12,Royal Mansour,Marrakech,5,53,20,149,40981
2001,1,Four Seasons Resort,Marrakech,5,139,19,113,105335
2001,2,Four Seasons Resort,Marrakech,5,139,17,113,87779
2001,3,Four Seasons Resort,Marrakech,5,139,20,113,122891
2001,4,Four Seasons Resort,Marrakech,5,139,28,113,140447
2001,5,Four Seasons Resort,Marrakech,5,139,27,113,140447
2001,6,Four Seasons Resort,Marrakech,5,139,20,113,122891
2001,7,Four Seasons Resort,Marrakech,5,139,45,113,210670
2001,8,Four Seasons Resort,Marrakech,5,139,42,113,245782
2001,9,Four Seasons Resort,Marrakech,5,139,33,113,175559
2001,10,Four Seasons Resort,Marrakech,5,139,30,113,158003
2001,11,Four Seasons Resort,Marrakech,5,139,24,113,122891
2001,12,Four Seasons Resort,Marrakech,5,139,24,113,122891
2001,1,Amanjena,Marrakech,5,32,17,144,26291
2001,2,Amanjena,Marrakech,5,32,14,144,21909
2001,3,Amanjena,Marrakech,5,32,19,144,30673
2001,4,Amanjena,Marrakech,5,32,22,144,35055
2001,5,Amanjena,Marrakech,5,32,28,144,35055
2001,6,Amanjena,Marrakech,5,32,21,144,30673
2001,7,Amanjena,Marrakech,5,32,34,144,52583
2001,8,Amanjena,Marrakech,5,32,44,144,61347
2001,9,Amanjena,Marrakech,5,32,31,144,43819
2001,10,Amanjena,Marrakech,5,32,29,144,39437
2001,11,Amanjena,Marrakech,5,32,22,144,30673
2001,12,Amanjena,Marrakech,5,32,24,144,30673
2001,1,Sofitel Marrakech,Marrakech,5,303,16,79,140141
2001,2,Sofitel Marrakech,Marrakech,5,303,18,79,116784
2001,3,Sofitel Marrakech,Marrakech,5,303,25,79,163498
2001,4,Sofitel Marrakech,Marrakech,5,303,24,79,186854
2001,5,Sofitel Marrakech,Marrakech,5,303,27,79,186854
