year,month,country,revenue_mad_millions
2001,1,France,0.419
2001,1,Espagne,0.251
2001,1,Royaume-Uni,0.101
2001,1,Italie,0.084
2001,1,Allemagne,0.084
2001,1,États-Unis,0.067
2001,1,Belgique,0.05
2001,1,Pays-Bas,0.05
2001,1,Brésil,0.034
2001,1,Canada,0.034
2001,2,France,0.337
2001,2,Espagne,0.202
2001,2,Royaume-Uni,0.081
2001,2,Italie,0.067
2001,2,Allemagne,0.067
2001,2,États-Unis,0.054
2001,2,Belgique,0.04
2001,2,Pays-Bas,0.04
2001,2,Brésil,0.027
2001,2,Canada,0.027
2001,3,France,0.502
2001,3,Espagne,0.301
2001,3,Royaume-Uni,0.12
2001,3,Italie,0.1
2001,3,Allemagne,0.1
2001,3,États-Unis,0.08
2001,3,Belgique,0.06
2001,3,Pays-Bas,0.06
2001,3,Brésil,0.04
2001,3,Canada,0.04
2001,4,France,0.613
2001,4,Espagne,0.368
2001,4,Royaume-Uni,0.147
2001,4,Italie,0.123
2001,4,Allemagne,0.123
2001,4,États-Unis,0.098
2001,4,Belgique,0.074
2001,4,Pays-Bas,0.074
2001,4,Brésil,0.049
2001,4,Canada,0.049
2001,5,France,0.581
2001,5,Espagne,0.349
2001,5,Royaume-Uni,0.139
2001,5,Italie,0.116
2001,5,Allemagne,0.116
2001,5,États-Unis,0.093
2001,5,Belgique,0.07
2001,5,Pays-Bas,0.07
2001,5,Brésil,0.046
2001,5,Canada,0.046
2001,6,France,0.47
2001,6,Espagne,0.282
2001,6,Royaume-Uni,0.113
2001,6,Italie,0.094
2001,6,Allemagne,0.094
2001,6,États-Unis,0.075
2001,6,Belgique,0.056
2001,6,Pays-Bas,0.056
2001,6,Brésil,0.038
2001,6,Canada,0.038
2001,7,France,0.791
2001,7,Espagne,0.475
2001,7,Royaume-Uni,0.19
2001,7,Italie,0.158
2001,7,Allemagne,0.158
2001,7,États-Unis,0.127
2001,7,Belgique,0.095
2001,7,Pays-Bas,0.095
2001,7,Brésil,0.063
2001,7,Canada,0.063
2001,8,France,1.049
2001,8,Espagne,0.63
2001,8,Royaume-Uni,0.252
2001,8,Italie,0.21
2001,8,Allemagne,0.21
2001,8,États-Unis,0.168
2001,8,Belgique,0.126
2001,8,Pays-Bas,0.126
2001,8,Brésil,0.084
2001,8,Canada,0.084
2001,9,France,0.664
2001,9,Espagne,0.398
2001,9,Royaume-Uni,0.159
2001,9,Italie,0.133
2001,9,Allemagne,0.133
2001,9,États-Unis,0.106
2001,9,Belgique,0.08
2001,9,Pays-Bas,0.08
2001,9,Brésil,0.053
2001,9,Canada,0.053
2001,10,France,0.633
2001,10,Espagne,0.38
2001,10,Royaume-Uni,0.152
2001,10,Italie,0.127
2001,10,Allemagne,0.127
2001,10,États-Unis,0.101
2001,10,Belgique,0.076
2001,10,Pays-Bas,0.076
2001,10,Brésil,0.051
2001,10,Canada,0.051
2001,11,France,0.513
2001,11,Espagne,0.308
2001,11,Royaume-Uni,0.123
2001,11,Italie,0.103
2001,11,Allemagne,0.103
2001,11,États-Unis,0.082
2001,11,Belgique,0.062
2001,11,Pays-Bas,0.062
2001,11,Brésil,0.041
2001,11,Canada,0.041
2001,12,France,0.537
2001,12,Espagne,0.322
2001,12,Royaume-Uni,0.129
2001,12,Italie,0.107
2001,12,Allemagne,0.107
2001,12,États-Unis,0.086
2001,12,Belgique,0.064
2001,12,Pays-Bas,0.064
2001,12,Brésil,0.043
2001,12,Canada,0.043
2002,1,France,0.437
2002,1,Espagne,0.262
2002,1,Royaume-Uni,0.105
2002,1,Italie,0.087
2002,1,Allemagne,0.087
2002,1,États-Unis,0.07
2002,1,Belgique,0.052
2002,1,Pays-Bas,0.052
2002,1,Brésil,0.035
2002,1,Canada,0.035
2002,2,France,0.338
2002,2,Espagne,0.203
2002,2,Royaume-Uni,0.081
2002,2,Italie,0.068
2002,2,Allemagne,0.068
2002,2,États-Unis,0.054
2002,2,Belgique,0.041
2002,2,Pays-Bas,0.041
2002,2,Brésil,0.027
2002,2,Canada,0.027
2002,3,France,0.505
2002,3,Espagne,0.303
2002,3,Royaume-Uni,0.121
2002,3,Italie,0.101
2002,3,Allemagne,0.101
2002,3,États-Unis,0.081
2002,3,Belgique,0.061
2002,3,Pays-Bas,0.061
2002,3,Brésil,0.04
2002,3,Canada,0.04
2002,4,France,0.578
2002,4,Espagne,0.347
