year,month,country,visitors
2001,1,France,29936
2001,1,Espagne,15286
2001,1,Royaume-Uni,6824
2001,1,Italie,4951
2001,1,Allemagne,4898
2001,1,États-Unis,4737
2001,1,Belgique,2970
2001,1,Pays-Bas,3130
2001,1,Brésil,2150
2001,1,Canada,2293
2001,2,France,24002
2001,2,Espagne,11342
2001,2,Royaume-Uni,6006
2001,2,Italie,4263
2001,2,Allemagne,4384
2001,2,États-Unis,4091
2001,2,Belgique,2814
2001,2,Pays-Bas,2875
2001,2,Brésil,1914
2001,2,Canada,2036
2001,3,France,33743
2001,3,Espagne,15986
2001,3,Royaume-Uni,6441
2001,3,Italie,5843
2001,3,Allemagne,5928
2001,3,États-Unis,4874
2001,3,Belgique,3955
2001,3,Pays-Bas,3820
2001,3,Brésil,2246
2001,3,Canada,2601
2001,4,France,40988
2001,4,Espagne,21564
2001,4,Royaume-Uni,7974
2001,4,Italie,7637
2001,4,Allemagne,8215
2001,4,États-Unis,6193
2001,4,Belgique,5126
2001,4,Pays-Bas,3700
2001,4,Brésil,3300
2001,4,Canada,3030
2001,5,France,34754
2001,5,Espagne,24309
2001,5,Royaume-Uni,8233
2001,5,Italie,8460
2001,5,Allemagne,7578
2001,5,États-Unis,5314
2001,5,Belgique,3721
2001,5,Pays-Bas,3773
2001,5,Brésil,2945
2001,5,Canada,2794
2001,6,France,29849
2001,6,Espagne,21349
2001,6,Royaume-Uni,7590
2001,6,Italie,7217
2001,6,Allemagne,6897
2001,6,États-Unis,5345
2001,6,Belgique,3459
2001,6,Pays-Bas,4308
2001,6,Brésil,2961
2001,6,Canada,2395
2001,7,France,63052
2001,7,Espagne,27092
2001,7,Royaume-Uni,11995
2001,7,Italie,12830
2001,7,Allemagne,12895
2001,7,États-Unis,8737
2001,7,Belgique,5849
2001,7,Pays-Bas,7713
2001,7,Brésil,4378
2001,7,Canada,3847
2001,8,France,70025
2001,8,Espagne,36465
2001,8,Royaume-Uni,13187
2001,8,Italie,10787
2001,8,Allemagne,15092
2001,8,États-Unis,11882
2001,8,Belgique,9041
2001,8,Pays-Bas,8693
2001,8,Brésil,5566
2001,8,Canada,5006
2001,9,France,43015
2001,9,Espagne,31188
2001,9,Royaume-Uni,10586
2001,9,Italie,8528
2001,9,Allemagne,9996
2001,9,États-Unis,7868
