year,month,airport_code,airport_name,passengers
2001,1,RAK,Marrakech Menara,63625
2001,2,RAK,Marrakech Menara,60613
2001,3,RAK,Marrakech Menara,77299
2001,4,RAK,Marrakech Menara,90468
2001,5,RAK,Marrakech Menara,91290
2001,6,RAK,Marrakech Menara,73798
2001,7,RAK,Marrakech Menara,122107
2001,8,RAK,Marrakech Menara,172615
2001,9,RAK,Marrakech Menara,112474
2001,10,RAK,Marrakech Menara,99820
2001,11,RAK,Marrakech Menara,82029
2001,12,RAK,Marrakech Menara,79441
2001,1,CMN,Casablanca Mohammed V,84397
2001,2,CMN,Casablanca Mohammed V,70422
2001,3,CMN,Casablanca Mohammed V,112156
2001,4,CMN,Casablanca Mohammed V,130425
2001,5,CMN,Casablanca Mohammed V,124813
2001,6,CMN,Casablanca Mohammed V,108554
2001,7,CMN,Casablanca Mohammed V,202748
2001,8,CMN,Casablanca Mohammed V,201198
2001,9,CMN,Casablanca Mohammed V,156926
2001,10,CMN,Casablanca Mohammed V,146256
2001,11,CMN,Casablanca Mohammed V,113288
2001,12,CMN,Casablanca Mohammed V,113941
2001,1,TNG,Tanger Ibn Battouta,40521
2001,2,TNG,Tanger Ibn Battouta,34300
2001,3,TNG,Tanger Ibn Battouta,50290
2001,4,TNG,Tanger Ibn Battouta,50042
2001,5,TNG,Tanger Ibn Battouta,52558
2001,6,TNG,Tanger Ibn Battouta,44765
2001,7,TNG,Tanger Ibn Battouta,73548
2001,8,TNG,Tanger Ibn Battouta,87697
2001,9,TNG,Tanger Ibn Battouta,68938
2001,10,TNG,Tanger Ibn Battouta,56554
2001,11,TNG,Tanger Ibn Battouta,50313
2001,12,TNG,Tanger Ibn Battouta,44733
2001,1,AGA,Agadir Al Massira,25940
2001,2,AGA,Agadir Al Massira,21255
2001,3,AGA,Agadir Al Massira,33576
2001,4,AGA,Agadir Al Massira,39634
2001,5,AGA,Agadir Al Massira,36682
2001,6,AGA,Agadir Al Massira,30325
2001,7,AGA,Agadir Al Massira,54297
2001,8,AGA,Agadir Al Massira,65376
2001,9,AGA,Agadir Al Massira,48751
2001,10,AGA,Agadir Al Massira,44651
2001,11,AGA,Agadir Al Massira,30616
2001,12,AGA,Agadir Al Massira,30676
2001,1,FEZ,Fès Saïss,17114
2001,2,FEZ,Fès Saïss,12832
2001,3,FEZ,Fès Saïss,19427
2001,4,FEZ,Fès Saïss,21880
2001,5,FEZ,Fès Saïss,21763
2001,6,FEZ,Fès Saïss,18832
2001,7,FEZ,Fès Saïss,31265
2001,8,FEZ,Fès Saïss,39453
2001,9,FEZ,Fès Saïss,28377
2001,10,FEZ,Fès Saïss,25971
2001,11,FEZ,Fès Saïss,19108
2001,12,FEZ,Fès Saïss,19764
2001,1,RBA,Rabat-Salé,10955
2001,2,RBA,Rabat-Salé,8161
2001,3,RBA,Rabat-Salé,10968
2001,4,RBA,Rabat-Salé,12679
2001,5,RBA,Rabat-Salé,12264
2001,6,RBA,Rabat-Salé,11082
2001,7,RBA,Rabat-Salé,20411
2001,8,RBA,Rabat-Salé,25133
2001,9,RBA,Rabat-Salé,17829
2001,10,RBA,Rabat-Salé,14227
2001,11,RBA,Rabat-Salé,11879
2001,12,RBA,Rabat-Salé,10742
2001,1,OUD,Oujda Angads,6374
2001,2,OUD,Oujda Angads,5335
2001,3,OUD,Oujda Angads,7851
2001,4,OUD,Oujda Angads,8871
2001,5,OUD,Oujda Angads,9258
2001,6,OUD,Oujda Angads,8209
2001,7,OUD,Oujda Angads,13440
2001,8,OUD,Oujda Angads,16498
2001,9,OUD,Oujda Angads,11210
2001,10,OUD,Oujda Angads,9997
2001,11,OUD,Oujda Angads,8123
2001,12,OUD,Oujda Angads,7726
2001,1,NDR,Nador Ibn Batouta,5925
2001,2,NDR,Nador Ibn Batouta,4888
2001,3,NDR,Nador Ibn Batouta,6565
2001,4,NDR,Nador Ibn Batouta,7374
2001,5,NDR,Nador Ibn Batouta,7151
2001,6,NDR,Nador Ibn Batouta,6881
2001,7,NDR,Nador Ibn Batouta,12075
2001,8,NDR,Nador Ibn Batouta,12180
2001,9,NDR,Nador Ibn Batouta,9638
2001,10,NDR,Nador Ibn Batouta,8798
2001,11,NDR,Nador Ibn Batouta,6385
2001,12,NDR,Nador Ibn Batouta,6526
2001,1,ERH,Errachidia Moulay Ali Cherif,3215
2001,2,ERH,Errachidia Moulay Ali Cherif,2387
2001,3,ERH,Errachidia Moulay Ali Cherif,3202
2001,4,ERH,Errachidia Moulay Ali Cherif,3832
2001,5,ERH,Errachidia Moulay Ali Cherif,3598
2001,6,ERH,Errachidia Moulay Ali Cherif,3563
2001,7,ERH,Errachidia Moulay Ali Cherif,5588
2001,8,ERH,Errachidia Moulay Ali Cherif,6610
2001,9,ERH,Errachidia Moulay Ali Cherif,4865
2001,10,ERH,Errachidia Moulay Ali Cherif,4718
2001,11,ERH,Errachidia Moulay Ali Cherif,3396
2001,12,ERH,Errachidia Moulay Ali Cherif,3263
2001,1,VIL,Dakhla,2289
2001,2,VIL,Dakhla,1999
2001,3,VIL,Dakhla,2678
2001,4,VIL,Dakhla,3106
