date,total_arrivals,foreign_tourists,mre_arrivals,month
2001-01-01,6081,3101,2980,1
2001-01-02,5824,2970,2854,1
2001-01-03,7284,3715,3569,1
2001-01-04,6678,3406,3272,1
2001-01-05,6232,3178,3054,1
2001-01-06,6303,3215,3088,1
2001-01-07,7321,3734,3587,1
2001-01-08,5889,3003,2886,1
2001-01-09,6795,3465,3330,1
2001-01-10,7167,3655,3512,1
2001-01-11,6024,3072,2952,1
2001-01-12,5915,3017,2898,1
2001-01-13,5760,2938,2822,1
2001-01-14,6716,3425,3291,1
2001-01-15,6286,3206,3080,1
2001-01-16,7338,3742,3596,1
2001-01-17,6739,3437,3302,1
2001-01-18,6370,3249,3121,1
2001-01-19,6459,3294,3165,1
2001-01-20,6836,3486,3350,1
2001-01-21,7408,3778,3630,1
2001-01-22,6850,3494,3356,1
2001-01-23,6358,3243,3115,1
2001-01-24,6239,3182,3057,1
2001-01-25,7035,3588,3447,1
2001-01-26,7010,3575,3435,1
2001-01-27,7220,3682,3538,1
2001-01-28,6765,3450,3315,1
2001-01-01,7292,3719,3573,1
2001-01-02,7007,3574,3433,1
2001-01-03,6158,3141,3017,1
2001-02-04,6077,3099,2978,2
2001-02-05,5723,2919,2804,2
2001-02-06,5940,3029,2911,2
2001-02-07,5462,2786,2676,2
2001-02-08,6219,3172,3047,2
2001-02-09,5690,2902,2788,2
2001-02-10,5615,2864,2751,2
2001-02-11,4819,2458,2361,2
2001-02-12,5367,2737,2630,2
2001-02-13,5459,2784,2675,2
2001-02-14,6081,3101,2980,2
2001-02-15,5938,3028,2910,2
2001-02-16,6055,3088,2967,2
2001-02-17,5124,2613,2511,2
2001-02-18,4919,2509,2410,2
2001-02-19,5901,3010,2891,2
2001-02-20,5765,2940,2825,2
2001-02-21,5694,2904,2790,2
2001-02-22,5504,2807,2697,2
2001-02-23,6135,3129,3006,2
2001-02-24,5964,3042,2922,2
2001-02-25,4690,2392,2298,2
2001-02-26,5298,2702,2596,2
2001-02-27,4995,2547,2448,2
2001-02-28,5592,2852,2740,2
2001-02-01,5262,2684,2578,2
2001-02-02,6087,3104,2983,2
2001-02-03,5704,2909,2795,2
2001-02-04,6204,3164,3040,2
2001-02-05,5303,2705,2598,2
2001-03-06,6567,3349,3218,3
2001-03-07,7847,4002,3845,3
2001-03-08,8367,4267,4100,3
2001-03-09,7445,3797,3648,3
2001-03-10,7755,3955,3800,3
2001-03-11,8665,4419,4246,3
2001-03-12,6817,3477,3340,3
2001-03-13,7736,3945,3791,3
2001-03-14,8324,4245,4079,3
2001-03-15,8551,4361,4190,3
2001-03-16,7668,3911,3757,3
2001-03-17,7655,3904,3751,3
2001-03-18,7857,4007,3850,3
2001-03-19,8082,4122,3960,3
2001-03-20,6857,3497,3360,3
2001-03-21,8218,4191,4027,3
2001-03-22,8004,4082,3922,3
2001-03-23,7200,3672,3528,3
2001-03-24,6561,3346,3215,3
2001-03-25,8017,4089,3928,3
2001-03-26,8635,4404,4231,3
2001-03-27,7826,3991,3835,3
2001-03-28,7899,4028,3871,3
