year,region,total_arrivals,hotels,rooms,revenue_mad_millions
2001,Marrakech-Safi,930720,1079,40449,7619047.965
2001,Casablanca-Settat,598320,878,27621,5016862.136
2001,Tanger-Tétouan-Al Hoceima,465360,712,20823,4335151.065
2001,Souss-Massa,398880,526,17541,3717094.913
2001,Fès-Meknès,332400,487,14051,2646713.69
2001,Rabat-Salé-Kénitra,232680,357,11538,2074560.201
2001,Oriental,132960,186,5684,1167989.411
2001,Dakhla-Oued Ed-Dahab,99720,77,2544,770063.18
2001,Drâa-Tafilalet,66480,119,3170,559841.342
2001,Laâyoune-Sakia El Hamra,33240,46,1227,288782.825
2001,Guelmim-Oued Noun,33240,32,812,254807.219
2002,Marrakech-Safi,997920,1243,46834,9227973.204
2002,Casablanca-Settat,641520,882,27893,5299651.359
2002,Tanger-Tétouan-Al Hoceima,498960,702,20607,4487592.911
2002,Souss-Massa,427680,515,17247,3822948.114
2002,Fès-Meknès,356400,549,15928,3138290.633
2002,Rabat-Salé-Kénitra,249480,365,11871,2232664.788
2002,Oriental,142560,194,5964,1281873.282
2002,Dakhla-Oued Ed-Dahab,106920,87,2877,910882.65
2002,Drâa-Tafilalet,71280,134,3598,664574.606
2002,Laâyoune-Sakia El Hamra,35640,48,1297,319324.571
2002,Guelmim-Oued Noun,35640,35,917,300986.267
2003,Marrakech-Safi,1072960,1074,40681,8413034.98
2003,Casablanca-Settat,689760,930,29543,5891406.005
2003,Tanger-Tétouan-Al Hoceima,536480,690,20349,4651191.385
2003,Souss-Massa,459840,547,18420,4285553.934
2003,Fès-Meknès,383200,501,14589,3017132.735
2003,Rabat-Salé-Kénitra,268240,367,12003,2369515.702
2003,Oriental,153280,205,6323,1426492.464
2003,Dakhla-Oued Ed-Dahab,114960,89,2970,987106.129
2003,Drâa-Tafilalet,76640,123,3324,644444.952
2003,Laâyoune-Sakia El Hamra,38320,45,1205,311407.847
2003,Guelmim-Oued Noun,38320,39,1024,353080.36
2004,Marrakech-Safi,1170960,1128,42882,9453093.286
2004,Casablanca-Settat,752760,958,30569,6498138.353
2004,Tanger-Tétouan-Al Hoceima,585480,652,19322,4707750.441
2004,Souss-Massa,501840,508,17179,4260504.196
2004,Fès-Meknès,418200,589,17220,3796125.333
2004,Rabat-Salé-Kénitra,292740,391,12826,2698989.536
2004,Oriental,167280,205,6361,1529821.85
2004,Dakhla-Oued Ed-Dahab,125460,91,3027,1072381.477
2004,Drâa-Tafilalet,83640,115,3115,643745.892
2004,Laâyoune-Sakia El Hamra,41820,48,1295,356741.472
2004,Guelmim-Oued Noun,41820,34,895,329002.512
2005,Marrakech-Safi,1394960,1195,45638,11713043.989
2005,Casablanca-Settat,896760,911,29183,7222286.124
2005,Tanger-Tétouan-Al Hoceima,697480,752,22402,6354703.835
2005,Souss-Massa,597840,505,17143,4949716.877
