date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2005-01-01,2005-01,MA00,?,BAM.ACTIF,67173.66848528864,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-02-01,2005-02,MA00,?,BAM.ACTIF,68234.28128795516,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-03-01,2005-03,MA00,?,BAM.ACTIF,68309.78043920925,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-04-01,2005-04,MA00,?,BAM.ACTIF,69583.56648335543,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-05-01,2005-05,MA00,?,BAM.ACTIF,69583.56648335543,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-06-01,2005-06,MA00,?,BAM.ACTIF,63686.64588796495,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-07-01,2005-07,MA00,?,BAM.ACTIF,66791.2301317333,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-08-01,2005-08,MA00,?,BAM.ACTIF,69157.0296620311,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-09-01,2005-09,MA00,?,BAM.ACTIF,66070.81116573533,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-10-01,2005-10,MA00,?,BAM.ACTIF,70740.8235253765,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-11-01,2005-11,MA00,?,BAM.ACTIF,72886.61392492906,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2005-12-01,2005-12,MA00,?,BAM.ACTIF,72662.02260064182,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-01-01,2006-01,MA00,?,BAM.ACTIF,78854.23918650713,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-02-01,2006-02,MA00,?,BAM.ACTIF,81700.2874577232,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-03-01,2006-03,MA00,?,BAM.ACTIF,84952.05744782131,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-04-01,2006-04,MA00,?,BAM.ACTIF,86725.15163172761,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-05-01,2006-05,MA00,?,BAM.ACTIF,86357.68153678885,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-06-01,2006-06,MA00,?,BAM.ACTIF,87955.48133195729,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-07-01,2006-07,MA00,?,BAM.ACTIF,91835.94875419408,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-08-01,2006-08,MA00,?,BAM.ACTIF,93928.66052837907,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-09-01,2006-09,MA00,?,BAM.ACTIF,97929.00771472849,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-10-01,2006-10,MA00,?,BAM.ACTIF,102101.29132153114,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-11-01,2006-11,MA00,?,BAM.ACTIF,103692.27445955029,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2006-12-01,2006-12,MA00,?,BAM.ACTIF,104766.74218861315,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2007-01-01,2007-01,MA00,?,BAM.ACTIF,108632.17267468368,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2007-02-01,2007-02,MA00,?,BAM.ACTIF,109581.82653854068,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
