date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,11.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,12.3,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,11.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,13.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,14.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,14.3,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,12.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,14.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,19.2,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,21.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,21.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,23.3,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,23.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,25.4,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,25.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,25.7,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,26.4,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,28.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,27.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,27.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,23.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,25.5,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,23.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,23.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,5.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,4.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,4.2,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,4.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
