code,indicator,unit,year,value
BCA,Current account balance,U.S. dollars,1980,-1.625
BCA,Current account balance,U.S. dollars,1981,-1.975
BCA,Current account balance,U.S. dollars,1982,-2.125
BCA,Current account balance,U.S. dollars,1983,-1.175
BCA,Current account balance,U.S. dollars,1984,-1.454
BCA,Current account balance,U.S. dollars,1985,-1.47
BCA,Current account balance,U.S. dollars,1986,-1.068
BCA,Current account balance,U.S. dollars,1987,-0.482
BCA,Current account balance,U.S. dollars,1988,0.624
BCA,Current account balance,U.S. dollars,1989,-0.92
BCA,Current account balance,U.S. dollars,1990,-0.357
BCA,Current account balance,U.S. dollars,1991,-0.157
BCA,Current account balance,U.S. dollars,1992,0.126
BCA,Current account balance,U.S. dollars,1993,0.253
BCA,Current account balance,U.S. dollars,1994,-0.35
BCA,Current account balance,U.S. dollars,1995,-1.147
BCA,Current account balance,U.S. dollars,1996,0.574
BCA,Current account balance,U.S. dollars,1997,-0.298
BCA,Current account balance,U.S. dollars,1998,-0.248
BCA,Current account balance,U.S. dollars,1999,-0.967
BCA,Current account balance,U.S. dollars,2000,-1.16
BCA,Current account balance,U.S. dollars,2001,0.543
BCA,Current account balance,U.S. dollars,2002,1.473
BCA,Current account balance,U.S. dollars,2003,0.44
BCA,Current account balance,U.S. dollars,2004,0.617
BCA,Current account balance,U.S. dollars,2005,0.733
BCA,Current account balance,U.S. dollars,2006,1.78
BCA,Current account balance,U.S. dollars,2007,0.131
BCA,Current account balance,U.S. dollars,2008,-4.329
BCA,Current account balance,U.S. dollars,2009,-4.49
BCA,Current account balance,U.S. dollars,2010,-3.782
BCA,Current account balance,U.S. dollars,2011,-7.598
BCA,Current account balance,U.S. dollars,2012,-7.255
BCA,Current account balance,U.S. dollars,2013,-6.669
BCA,Current account balance,U.S. dollars,2014,-5.462
BCA,Current account balance,U.S. dollars,2015,-1.238
BCA,Current account balance,U.S. dollars,2016,-3.118
BCA,Current account balance,U.S. dollars,2017,-3.115
BCA,Current account balance,U.S. dollars,2018,-3.183
BCA,Current account balance,U.S. dollars,2019,-3.767
BCA,Current account balance,U.S. dollars,2020,-0.679
BCA,Current account balance,U.S. dollars,2021,-2.275
BCA,Current account balance,U.S. dollars,2022,-4.016
BCA,Current account balance,U.S. dollars,2023,-3.047
BCA,Current account balance,U.S. dollars,2024,-4.149
BCA,Current account balance,U.S. dollars,2025,-5.025
BCA,Current account balance,U.S. dollars,2026,-5.944
BCA,Current account balance,U.S. dollars,2027,-6.829
BCA,Current account balance,U.S. dollars,2028,-7.679
BCA,Current account balance,U.S. dollars,2029,-11.084
BCA_NGDPD,Current account balance,Percent of GDP,1980,-7.633
BCA_NGDPD,Current account balance,Percent of GDP,1981,-11.485
BCA_NGDPD,Current account balance,Percent of GDP,1982,-12.227
BCA_NGDPD,Current account balance,Percent of GDP,1983,-6.977
BCA_NGDPD,Current account balance,Percent of GDP,1984,-8.684
BCA_NGDPD,Current account balance,Percent of GDP,1985,-8.307
BCA_NGDPD,Current account balance,Percent of GDP,1986,-5.062
BCA_NGDPD,Current account balance,Percent of GDP,1987,-2.107
BCA_NGDPD,Current account balance,Percent of GDP,1988,2.468
BCA_NGDPD,Current account balance,Percent of GDP,1989,-3.52
BCA_NGDPD,Current account balance,Percent of GDP,1990,-1.249
BCA_NGDPD,Current account balance,Percent of GDP,1991,-0.504
BCA_NGDPD,Current account balance,Percent of GDP,1992,0.391
BCA_NGDPD,Current account balance,Percent of GDP,1993,0.793
BCA_NGDPD,Current account balance,Percent of GDP,1994,-1.0
BCA_NGDPD,Current account balance,Percent of GDP,1995,-3.114
BCA_NGDPD,Current account balance,Percent of GDP,1996,1.441
BCA_NGDPD,Current account balance,Percent of GDP,1997,-0.77
BCA_NGDPD,Current account balance,Percent of GDP,1998,-0.583
BCA_NGDPD,Current account balance,Percent of GDP,1999,-2.243
BCA_NGDPD,Current account balance,Percent of GDP,2000,-2.726
BCA_NGDPD,Current account balance,Percent of GDP,2001,1.236
BCA_NGDPD,Current account balance,Percent of GDP,2002,3.092
BCA_NGDPD,Current account balance,Percent of GDP,2003,0.787
BCA_NGDPD,Current account balance,Percent of GDP,2004,0.964
BCA_NGDPD,Current account balance,Percent of GDP,2005,1.077
BCA_NGDPD,Current account balance,Percent of GDP,2006,2.404
BCA_NGDPD,Current account balance,Percent of GDP,2007,0.161
BCA_NGDPD,Current account balance,Percent of GDP,2008,-4.657
BCA_NGDPD,Current account balance,Percent of GDP,2009,-4.834
BCA_NGDPD,Current account balance,Percent of GDP,2010,-4.057
BCA_NGDPD,Current account balance,Percent of GDP,2011,-7.494
BCA_NGDPD,Current account balance,Percent of GDP,2012,-7.345
BCA_NGDPD,Current account balance,Percent of GDP,2013,-6.219
BCA_NGDPD,Current account balance,Percent of GDP,2014,-4.965
BCA_NGDPD,Current account balance,Percent of GDP,2015,-1.124
BCA_NGDPD,Current account balance,Percent of GDP,2016,-2.803
BCA_NGDPD,Current account balance,Percent of GDP,2017,-2.7
BCA_NGDPD,Current account balance,Percent of GDP,2018,-2.58
BCA_NGDPD,Current account balance,Percent of GDP,2019,-3.007
BCA_NGDPD,Current account balance,Percent of GDP,2020,-0.592
BCA_NGDPD,Current account balance,Percent of GDP,2021,-1.606
BCA_NGDPD,Current account balance,Percent of GDP,2022,-2.991
BCA_NGDPD,Current account balance,Percent of GDP,2023,-2.116
BCA_NGDPD,Current account balance,Percent of GDP,2024,-2.723
BCA_NGDPD,Current account balance,Percent of GDP,2025,-3.005
BCA_NGDPD,Current account balance,Percent of GDP,2026,-3.239
BCA_NGDPD,Current account balance,Percent of GDP,2027,-3.413
BCA_NGDPD,Current account balance,Percent of GDP,2028,-3.517
BCA_NGDPD,Current account balance,Percent of GDP,2029,-4.29
GGR,General government revenue,Percent of GDP,1990,28.141
GGR,General government revenue,Percent of GDP,1991,28.598
GGR,General government revenue,Percent of GDP,1992,28.088
GGR,General government revenue,Percent of GDP,1993,27.776
GGR,General government revenue,Percent of GDP,1994,27.025
GGR,General government revenue,Percent of GDP,1995,27.103
GGR,General government revenue,Percent of GDP,1996,27.947
GGR,General government revenue,Percent of GDP,1997,27.722
GGR,General government revenue,Percent of GDP,1998,28.082
GGR,General government revenue,Percent of GDP,1999,27.943
GGR,General government revenue,Percent of GDP,2000,28.458
GGR,General government revenue,Percent of GDP,2001,28.538
GGR,General government revenue,Percent of GDP,2002,28.149
GGR,General government revenue,Percent of GDP,2003,27.772
GGR,General government revenue,Percent of GDP,2004,27.952
GGR,General government revenue,Percent of GDP,2005,29.145
GGR,General government revenue,Percent of GDP,2006,29.329
GGR,General government revenue,Percent of GDP,2007,30.677
GGR,General government revenue,Percent of GDP,2008,31.592
GGR,General government revenue,Percent of GDP,2009,30.249
GGR,General government revenue,Percent of GDP,2010,30.084
GGR,General government revenue,Percent of GDP,2011,31.049
GGR,General government revenue,Percent of GDP,2012,30.758
GGR,General government revenue,Percent of GDP,2013,30.504
GGR,General government revenue,Percent of GDP,2014,30.112
GGR,General government revenue,Percent of GDP,2015,29.805
GGR,General government revenue,Percent of GDP,2016,29.181
GGR,General government revenue,Percent of GDP,2017,29.237
GGR,General government revenue,Percent of GDP,2018,29.272
GGR,General government revenue,Percent of GDP,2019,27.957
GGR,General government revenue,Percent of GDP,2020,28.106
GGR,General government revenue,Percent of GDP,2021,27.894
GGR,General government revenue,Percent of GDP,2022,28.328
GGR,General government revenue,Percent of GDP,2023,27.678
GGR,General government revenue,Percent of GDP,2024,28.334
GGR,General government revenue,Percent of GDP,2025,27.878
GGR,General government revenue,Percent of GDP,2026,27.726
GGR,General government revenue,Percent of GDP,2027,27.765
GGR,General government revenue,Percent of GDP,2028,27.817
GGR,General government revenue,Percent of GDP,2029,27.7
GGX,General government total expenditure,Percent of GDP,1990,30.177
GGX,General government total expenditure,Percent of GDP,1991,31.37
GGX,General government total expenditure,Percent of GDP,1992,30.872
GGX,General government total expenditure,Percent of GDP,1993,30.415
GGX,General government total expenditure,Percent of GDP,1994,30.973
GGX,General government total expenditure,Percent of GDP,1995,31.186
GGX,General government total expenditure,Percent of GDP,1996,30.421
GGX,General government total expenditure,Percent of GDP,1997,29.905
